Zipcode,Poverty Percent
60624,35.90%
60621,33.60%
60637,32.20%
60636,31.50%
60653,31.40%
60644,30.80%
60649,30.50%
60623,27.00%
60609,26.80%
60612,26.70%
60619,25.80%
60651,25.00%
60615,24.60%
60628,23.20%
60620,22.60%
60617,22.10%
60626,19.60%
60640,18.50%
60659,18.10%
60629,18.00%
60604,17.60%
60608,17.40%
60639,16.90%
60645,16.30%
60660,16.20%
60607,16.10%
60616,16.00%
60632,15.00%
60652,13.70%
60641,12.80%
60625,12.50%
60647,12.40%
60643,12.40%
60610,12.00%
60633,11.60%
60603,10.70%
60605,9.40%
60622,9.20%
60613,9.10%
60634,9.00%
60611,8.90%
60614,8.60%
60630,8.20%
60618,7.80%
60642,7.70%
60606,7.70%
60656,7.50%
60657,7.40%
60654,7.20%
60631,7.00%
60646,6.60%
60638,6.20%
60601,5.50%
60655,5.20%
60661,5.10%
60602,1.90%
